price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
53990,64,8,512,14,1920,1080,1
44500,69.32352941,8,512,15.6,1920,1080,1
48999,60,16,512,14,1920,1080,1
116990,70,16,1024,15.6,1920,1080,1
30990,69.32352941,8,512,15.6,1920,1080,1
33790,69.32352941,8,512,15.6,1920,1080,1
51990,72,16,512,15.6,1920,1080,2
45990,69.32352941,8,512,15.6,1920,1080,1
51990,70,8,512,15.6,1920,1080,2
34099,69.32352941,8,512,15.6,1920,1080,1
65600,66,16,512,15.6,1920,1080,1
27990,69.32352941,8,512,15.6,1920,1080,1
46990,69.32352941,8,512,14,1920,1080,1
161590,78,16,1024,16,2560,1600,1
98990,69.32352941,16,512,14,1920,1200,1
172990,79,32,1024,16,2560,1600,1
25990,69.32352941,8,256,14,1920,1080,1
61990,66,16,512,15.6,1920,1080,1
76990,64,16,1024,14,2880,1800,1
126790,73,16,512,15.6,1920,1080,1
209990,73,16,1024,13.4,2560,1600,1
209990,79,16,1024,16,2560,1600,1
142990,78,16,1024,16,1920,1200,1
156990,84,16,1024,15.6,2880,1620,1
93980,70,16,512,14,2880,1800,1
53990,64,8,512,17.3,1920,1080,1
51990,69.32352941,8,512,15.6,1920,1080,1
35990,69.32352941,16,512,15.6,1920,1080,1
37990,69.32352941,8,512,15.6,1920,1080,1
46490,69.32352941,16,512,15.6,1920,1080,1
90490,69,16,1024,15.6,1920,1080,1
55990,67,8,512,15.6,1920,1080,1
159990,88,16,1024,16,3200,2000,1
57990,69.32352941,8,512,15.6,1920,1080,1
104990,66,16,512,16,2560,1600,1
99990,70,16,512,16,1920,1200,1
80500,69,16,512,15.6,1920,1080,2
37990,69.32352941,8,512,14,1920,1080,1
34250,69.32352941,8,512,15.6,1920,1080,1
109990,71,16,512,15.6,1920,1080,1
33990,69.32352941,8,512,15.6,1366,768,1
79990,64,16,512,13.3,2880,1800,1
64990,62,16,512,15.6,1920,1080,1
109990,71,16,1024,15.6,2880,1620,1
62990,72,16,512,15.6,1920,1080,1
58999,65,16,512,14,1920,1200,1
420000,69.32352941,64,2048,17.3,3840,2160,2
23990,69.32352941,8,256,14,1920,1080,1
42999,69.32352941,8,512,15.6,1920,1080,1
38861,69.32352941,8,512,15.6,1920,1080,1
33590,69.32352941,8,512,15.6,1920,1080,1
15990,69.32352941,4,128,15.6,1366,768,1
